enunciado_latex,enunciado,solucion,texto,curso,titulo,n_ejercicio,dificultad,n_columnas,puntos,enun_tex,sol_tex
$f(x)=7x-1$,7*x - 1,$Dom\left(f \right)=\mathbb{R}$,"Halla el dominio de las siguientes funciones: 
    ",1BC,Parcial3,ex31e01-0,5,1,1,False,False
$f(x)=x^3-5x^2+2$,x**3 - 5*x**2 + 2,$Dom\left(f \right)=\mathbb{R}$,"Halla el dominio de las siguientes funciones: 
    ",1BC,Parcial3,ex31e01-0,5,1,1,False,False
$f(x)=\frac{{x - 1}}{{x + 5}}$,(x - 1)/(x + 5),"$Dom\left(f \right)=\left(-\infty, -5\right) \cup \left(-5, \infty\right)$","Halla el dominio de las siguientes funciones: 
    ",1BC,Parcial3,ex31e01-0,5,1,1,False,False
$f(x)=\sqrt[3]{\frac{x + 1}{x - 2}}$,((x + 1)/(x - 2))**(1/3),"$Dom\left(f \right)=\left(-\infty, 2\right) \cup \left(2, \infty\right)$","Halla el dominio de las siguientes funciones: 
    ",1BC,Parcial3,ex31e01-0,5,1,1,False,False
$f(x)=\sqrt {{x^2} - 9}$,sqrt(x**2 - 9),"$Dom\left(f \right)=\left(-\infty, -3\right] \cup \left[3, \infty\right)$","Halla el dominio de las siguientes funciones: 
    ",1BC,Parcial3,ex31e01-0,5,1,1,False,False
$f(x)=\sqrt {2x+3}$,sqrt(2*x + 3),"$Dom\left(f \right)=\left[- \frac{3}{2}, \infty\right)$","Halla el dominio de las siguientes funciones: 
    ",1BC,Parcial3,ex31e01-0,5,1,1,False,False
$g \circ f$,g(f(x)),$g{\left (f{\left (x \right )} \right )}=\frac{4 x^{2}}{9} - \frac{22 x}{9} + \frac{10}{9}$,"Dadas las funciones $f(x)= (2x-1)/3$ y $g(x)= x^2-3x$. Calcula: 
    ",1BC,Parcial3,ex31e02-0,5,1,1,False,False
$f \circ g$,f(g(x)),$f{\left (g{\left (x \right )} \right )}=\frac{2 x^{2}}{3} - 2 x - \frac{1}{3}$,"Dadas las funciones $f(x)= (2x-1)/3$ y $g(x)= x^2-3x$. Calcula: 
    ",1BC,Parcial3,ex31e02-0,5,1,1,False,False
$f(x)=\frac{3 x - 2}{2}$,(3x-2)/2,$f^{-1}(x)=\frac{2 x}{3} + \frac{2}{3}$ \\ $f^{-1} \circ f(x)=x=x$ \\,"Halla la función inversa de $f(x)$, siendo:",1BC,Parcial3,ex31e03,5,1,1,False,False
$f(x)=\frac{3 x - 2}{2}$,(3x-2)/2,$f^{-1}(x)=\frac{2 x}{3} + \frac{2}{3}$ \\ $f^{-1} \circ f(x)=x=x$ \\,"Halla la función inversa de $f(x)$, siendo:",1BC,Parcial3,ex31e03,5,1,1,False,False
$f(x)=\frac{x}{- x + 1}$,\frac{{x}}{{1 - x}},$f^{-1}(x)=\frac{x}{x + 1}$ \\ $f^{-1} \circ f(x)=\frac{x}{\left(- x + 1\right) \left(\frac{x}{- x + 1} + 1\right)}=x$ \\,"Halla la función inversa de $f(x)$, siendo:",1BC,Parcial3,ex31e03,5,1,1,False,False
$\lim_{x \to -1}\left(x^{2} - 3\right)$,"['x**2-3', -1]",$\lim_{x \to -1^-}\left(x^{2} - 3\right)=-2$ y  \\ $\lim_{x \to -1^+}\left(x^{2} - 3\right)=-2$,Calcula los siguientes límites:,1BC,Parcial3,ex31e04,5,1,1,False,False
$\lim_{x \to -1}\left(x^{2} - 3\right)$,"['x**2-3', -1]",$\lim_{x \to -1^-}\left(x^{2} - 3\right)=-2$ y  \\ $\lim_{x \to -1^+}\left(x^{2} - 3\right)=-2$,Calcula los siguientes límites:,1BC,Parcial3,ex31e04,5,1,1,False,False
$\lim_{x \to 0} \frac{1}{x^{2} - x}$,"['1/(x**2-x)', 0]",$\lim_{x \to 0^-} \frac{1}{x^{2} - x}=\infty$ y  \\ $\lim_{x \to 0^+} \frac{1}{x^{2} - x}=-\infty$,Calcula los siguientes límites:,1BC,Parcial3,ex31e04,5,1,1,False,False
$\begin{cases} x^{2} & \text{for}\: x < 1 \\\frac{3 x}{2} - \frac{1}{2} & \text{otherwise} \end{cases}$,"['Piecewise((x**2, x < 1), (3*x/2 - 1/2, True))']",Ver gráfica ,"Estudia la continuidad primero, y después representa gráficamente la siguiente función (se valorará el rigor de la respueta):",1BC,Parcial3,ex31e05,5,1,1,False,False
